"id","tissue","FileID","sex","group"
"FC2","striatum","JB262","F","Untreated"
"FC3","striatum","JB263","F","Untreated"
"FC4","striatum","JB264","F","Untreated"
"FC5","striatum","JB265","F","Untreated"
"3450","proximal_colon","JB266","M","Untreated"
"3394","proximal_colon","JB267","F","Untreated"
"3395","proximal_colon","JB268","F","Untreated"
"3402","proximal_colon","JB269","F","Untreated"
"3430","proximal_colon","JB270","M","Untreated"
"3474","proximal_colon","JB271","M","Untreated"
"3507","proximal_colon","JB272","M","Untreated"
"3560","proximal_colon","JB273","M","5d_DSS"
"3562","proximal_colon","JB274","M","5d_DSS"
"3563","proximal_colon","JB275","M","5d_DSS"
"3564","proximal_colon","JB276","F","5d_DSS"
"3565","proximal_colon","JB277","F","5d_DSS"
"3566","proximal_colon","JB278","F","7d_DSS_2d_H2O"
"3567","proximal_colon","JB279","F","7d_DSS_5d_H2O"
"3568","proximal_colon","JB280","F","7d_DSS_7d_H2O"
"3570","proximal_colon","JB281","M","7d_DSS_2d_H2O"
"3571","proximal_colon","JB282","M","7d_DSS_5d_H2O"
"3677","proximal_colon","JB283","M","Untreated"
"3678","proximal_colon","JB284","M","Untreated"
"3680","proximal_colon","JB285","M","Untreated"
"3681","proximal_colon","JB286","M","Untreated"
"3685","proximal_colon","JB287","M","7d_DSS"
"3686","proximal_colon","JB288","M","7d_DSS_2d_H2O"
"3687","proximal_colon","JB289","F","7d_DSS_2d_H2O"
"3688","proximal_colon","JB290","F","7d_DSS_2d_H2O"
"3689","proximal_colon","JB291","M","7d_DSS_5d_H2O"
"3690","proximal_colon","JB292","M","7d_DSS_5d_H2O"
"3691","proximal_colon","JB293","F","7d_DSS"
"3693","proximal_colon","JB294","F","7d_DSS_7d_H2O"
"3694","proximal_colon","JB295","F","7d_DSS_2d_H2O"
"3695","proximal_colon","JB296","M","7d_DSS_5d_H2O"
"3695","proximal_colon","JB296","M","7d_DSS_5d_H2O"
"3696","proximal_colon","JB297","M","7d_DSS_7d_H2O"
"3697","proximal_colon","JB298","M","7d_DSS_7d_H2O"
"3698","proximal_colon","JB299","M","5d_DSS"
"3699","proximal_colon","JB300","M","7d_DSS_2d_H2O"
"3700","proximal_colon","JB301","M","7d_DSS_7d_H2O"
"3702","proximal_colon","JB302","M","7d_DSS"
"3703","proximal_colon","JB303","M","7d_DSS"
"3705","proximal_colon","JB304","M","7d_DSS_2d_H2O"
"3706","proximal_colon","JB305","F","7d_DSS_5d_H2O"
"3707","proximal_colon","JB306","F","7d_DSS_7d_H2O"
"3708","proximal_colon","JB307","F","7d_DSS_5d_H2O"
"3709","proximal_colon","JB308","F","5d_DSS"
"3710","proximal_colon","JB309","F","7d_DSS"
"3711","proximal_colon","JB310","M","7d_DSS_5d_H2O"
"3712","proximal_colon","JB311","M","7d_DSS_7d_H2O"
"3713","proximal_colon","JB312","M","7d_DSS_7d_H2O"
"3714","proximal_colon","JB313","F","5d_DSS"
"3715","proximal_colon","JB314","F","7d_DSS"
"3717","proximal_colon","JB315","M","5d_DSS"
"3962","proximal_colon","JB316","M","7d_DSS_14d_H2O"
"3963","proximal_colon","JB317","M","7d_DSS_14d_H2O"
"3964","proximal_colon","JB318","M","7d_DSS_14d_H2O"
"3965","proximal_colon","JB319","F","7d_DSS_14d_H2O"
"3966","proximal_colon","JB320","F","7d_DSS_14d_H2O"
"3967","proximal_colon","JB321","F","7d_DSS_14d_H2O"
"3968","proximal_colon","JB322","F","7d_DSS_14d_H2O"
"3970","proximal_colon","JB323","M","7d_DSS_2d_H2O"
"3971","proximal_colon","JB324","M","7d_DSS_14d_H2O"
"FC1","proximal_colon","JB325","F","Untreated"
"FC2","proximal_colon","JB326","F","Untreated"
"FC3","proximal_colon","JB327","F","Untreated"
"FC4","proximal_colon","JB328","F","Untreated"
"FC5","proximal_colon","JB329","F","Untreated"
"3394","distal_colon","JB330","F","Untreated"
"3395","distal_colon","JB331","F","Untreated"
"3402","distal_colon","JB332","F","Untreated"
"3430","distal_colon","JB333","M","Untreated"
"3450","distal_colon","JB334","M","Untreated"
"3474","distal_colon","JB335","M","Untreated"
"3507","distal_colon","JB336","M","Untreated"
"3560","distal_colon","JB337","M","5d_DSS"
"3562","distal_colon","JB338","M","5d_DSS"
"3564","distal_colon","JB339","F","5d_DSS"
