"id","tissue","FileID","group","sex"
"3394","cortex","JB1","Untreated","F"
"3395","cortex","JB2","Untreated","F"
"3402","cortex","JB3","Untreated","F"
"3430","cortex","JB4","Untreated","M"
"3450","cortex","JB5","Untreated","M"
"3474","cortex","JB6","Untreated","M"
"3507","cortex","JB7","Untreated","M"
"3560","cortex","JB8","5d_DSS","M"
"3562","cortex","JB9","5d_DSS","M"
"3563","cortex","JB10","5d_DSS","M"
"3564","cortex","JB11","5d_DSS","F"
"3565","cortex","JB12","5d_DSS","F"
"3566","cortex","JB13","7d_DSS_2d_H2O","F"
"3567","cortex","JB14","7d_DSS_5d_H2O","F"
"3568","cortex","JB15","7d_DSS_7d_H2O","F"
"3570","cortex","JB16","7d_DSS_2d_H2O","M"
"3571","cortex","JB17","7d_DSS_5d_H2O","M"
"3677","cortex","JB18","Untreated","M"
"3678","cortex","JB19","Untreated","M"
"3680","cortex","JB20","Untreated","M"
"3681","cortex","JB21","Untreated","M"
"3684","cortex","JB22","7d_DSS","M"
"3685","cortex","JB23","7d_DSS","M"
"3686","cortex","JB24","7d_DSS_2d_H2O","M"
"3687","cortex","JB25","7d_DSS_2d_H2O","F"
"3688","cortex","JB26","7d_DSS_2d_H2O","F"
"3689","cortex","JB27","7d_DSS_5d_H2O","M"
"3690","cortex","JB28","7d_DSS_5d_H2O","M"
"3691","cortex","JB29","7d_DSS","F"
"3692","cortex","JB30","7d_DSS","F"
"3693","cortex","JB31","7d_DSS_7d_H2O","F"
"3694","cortex","JB32","7d_DSS_2d_H2O","F"
"3695","cortex","JB33","7d_DSS_5d_H2O","M"
"3696","cortex","JB34","7d_DSS_7d_H2O","M"
"3697","cortex","JB35","7d_DSS_7d_H2O","M"
"3698","cortex","JB36","5d_DSS","M"
"3699","cortex","JB37","7d_DSS_2d_H2O","M"
"3700","cortex","JB38","7d_DSS_7d_H2O","M"
"3701","cortex","JB39","7d_DSS","M"
"3702","cortex","JB40","7d_DSS","M"
"3703","cortex","JB41","7d_DSS","M"
"3704","cortex","JB42","7d_DSS_2d_H2O","M"
"3705","cortex","JB43","7d_DSS_2d_H2O","M"
"3706","cortex","JB44","7d_DSS_5d_H2O","F"
"3707","cortex","JB45","7d_DSS_7d_H2O","F"
"3708","cortex","JB46","7d_DSS_5d_H2O","F"
"3709","cortex","JB47","5d_DSS","F"
"3710","cortex","JB48","7d_DSS","F"
"3711","cortex","JB49","7d_DSS_5d_H2O","M"
"3712","cortex","JB50","7d_DSS_7d_H2O","M"
"3713","cortex","JB51","7d_DSS_7d_H2O","M"
"3714","cortex","JB52","5d_DSS","F"
"3715","cortex","JB53","7d_DSS","F"
"3716","cortex","JB54","5d_DSS","M"
"3717","cortex","JB55","5d_DSS","M"
