,0
0,TRIM28
1,RPS27A
2,UBA52
3,UBC
4,UBB
5,GNB1
6,GNGT1
7,APP
8,KNG1
9,GNG2
10,RBX1
11,CDC5L
12,POLR2E
13,GNG5
14,GNG4
15,GNG7
16,GNGT2
17,GNB2
18,POLR2H
19,GNB5
20,GNG8
21,GNG10
22,GNG12
23,GNB4
24,CDC20
25,GNB3
26,GNG3
27,POLR2K
28,GNG11
29,POLR2L
30,GNG13
31,PPP2R1A
32,CDK1
33,POLR2A
34,FPR2
35,POLR2F
36,DYNLL1
37,GNAL
38,C3
39,DYNC1H1
40,EP300
41,CDC42
42,NCBP1
43,SKP1
44,RAC1
45,NCBP2
46,UBE2D1
47,POLR2B
48,POLR2G
49,POLR2C
50,POLR2I
51,HSPA8
52,POLR2D
53,PIK3CA
54,CUL1
55,PIK3R1
56,POLR2J
57,TCEB2
58,TP53
59,BTRC
60,TCEB1
61,AGT
62,HIST1H2BB
63,HIST1H2BJ
64,HIST1H2BK
65,HIST2H2BE
66,HIST1H2BA
67,UBR4
68,MAPK1
69,PLK1
70,SKP2
71,HIST1H2BO
72,UBE2C
73,HIST1H2BL
74,PPP2CA
75,UBE2N
76,RHOA
77,CREBBP
78,LPAR1
79,SAA1
80,HIST1H2BM
81,LPAR3
82,HIST1H2BD
83,CUL3
84,LPAR2
85,UBE2D3
86,MCHR1
87,UBE2D2
88,C3AR1
89,VHL
90,HIST1H2BN
91,ANXA1
92,CASR
93,HIST1H2AC
94,HIST1H2BH
95,AVP
96,SOCS3
97,CDC23
98,HIST1H2AD
99,BDKRB2
100,ANAPC1
101,CUL2
102,HIST2H2AC
103,DYNC1I2
104,CHRM2
105,H2AFX
106,NMU
107,VAMP8
108,NMUR1
109,MCHR2
110,LPAR5
111,NMS
112,CDC26
113,FBXL7
114,CDC27
115,EIF4A3
116,ANAPC4
117,GPR17
118,CDC16
119,NMUR2
120,BDKRB1
121,PENK
122,PMCH
123,ANAPC5
124,GTF2F1
125,ANAPC7
126,RPS27
127,HIST1H2AJ
128,SMURF2
129,ANAPC10
130,FZR1
131,ANAPC11
132,ANAPC2
133,H2BFS
134,UBE2E1
135,PPBP
136,ITCH
137,POMC
138,ATG7
139,FBXW11
140,UBE2V2
141,ADCY9
142,RNPS1
143,ADCY5
144,ADCY4
145,ADCY1
146,FBXW5
147,ADCY3
148,ADCY6
149,CXCL1
150,ADCY2
151,WWP1
152,FBXO6
153,ADCY7
154,SRC
155,REEP1
156,FBXL3
157,UBA3
158,GNAI1
159,APOB
160,ADCY8
161,UBE2M
162,SMURF1
163,GTF2F2
164,AGTR1
165,FBXO44
166,CTNNB1
167,FBXO32
168,CUL5
169,FBXO9
170,RTP1
171,NHP2L1
172,FBXL5
173,TGOLN2
174,RLN3
175,RTP2
176,H2AFB1
177,FBXW10
178,FBXW2
179,KEAP1
180,ASB4
181,FBXW7
182,FBXW8
183,FBXO27
184,ZBTB16
185,FBXO10
186,GNAI2
187,GAN
188,KBTBD13
189,ASB10
190,ASB13
191,KLHL42
192,FBXO4
193,FBXO15
194,ASB18
195,FBXL15
196,BTBD1
197,FBXL18
198,CCNF
199,HERC2
200,FBXL13
201,SPSB1
202,H2AFZ
203,FBXW4
204,FBXO31
205,LRR1
206,NRAS
207,FBXO22
208,FBXO17
209,KLHL9
210,KLHL20
211,KLHL22
212,FBXO11
213,ASB17
214,NEDD4L
215,WSB1
216,KBTBD7
217,RNF7
218,FBXL19
219,FBXW9
220,REEP5
221,FBXO41
222,FBXL12
223,FBXO7
224,ASB6
225,KLHL25
226,KCTD6
227,FBXL14
228,KCTD7
229,KLHL13
230,ASB8
231,FBXO40
232,FBXO2
233,FBXL20
234,BTBD6
235,KBTBD8
236,FBXW12
237,FBXO30
238,ASB5
239,ASB15
240,LMO7
241,FPR1
242,ASB12
243,REEP2
244,PF4
245,HRAS
246,KLHL11
247,KBTBD6
248,UPF3B
249,ASB11
250,KLHL21
251,FBXL16
252,SPSB2
253,ASB2
254,FBXL4
255,TRIM21
256,KLHL41
257,MAGOH
258,LRRC41
259,UBE2F
260,RNF4
261,KLHL3
262,ASB7
263,ASB1
264,SOCS1
265,ASB14
266,PTAFR
267,REEP3
268,KLHL2
269,FBXO21
270,ASB9
271,ASB16
272,UBE2B
273,CASC3
274,FBXL8
275,DYNLL2
276,H2AFJ
277,FBXL22
278,HSP90AA1
279,EGF
280,RBM8A
