"id","tissue","FileID","group","sex"
"3450","proximal_colon","JB266","Untreated","M"
"3394","proximal_colon","JB267","Untreated","F"
"3395","proximal_colon","JB268","Untreated","F"
"3402","proximal_colon","JB269","Untreated","F"
"3430","proximal_colon","JB270","Untreated","M"
"3474","proximal_colon","JB271","Untreated","M"
"3507","proximal_colon","JB272","Untreated","M"
"3560","proximal_colon","JB273","5d_DSS","M"
"3562","proximal_colon","JB274","5d_DSS","M"
"3563","proximal_colon","JB275","5d_DSS","M"
"3564","proximal_colon","JB276","5d_DSS","F"
"3565","proximal_colon","JB277","5d_DSS","F"
"3566","proximal_colon","JB278","7d_DSS_2d_H2O","F"
"3567","proximal_colon","JB279","7d_DSS_5d_H2O","F"
"3568","proximal_colon","JB280","7d_DSS_7d_H2O","F"
"3570","proximal_colon","JB281","7d_DSS_2d_H2O","M"
"3571","proximal_colon","JB282","7d_DSS_5d_H2O","M"
"3677","proximal_colon","JB283","Untreated","M"
"3678","proximal_colon","JB284","Untreated","M"
"3680","proximal_colon","JB285","Untreated","M"
"3681","proximal_colon","JB286","Untreated","M"
"3685","proximal_colon","JB287","7d_DSS","M"
"3686","proximal_colon","JB288","7d_DSS_2d_H2O","M"
"3687","proximal_colon","JB289","7d_DSS_2d_H2O","F"
"3688","proximal_colon","JB290","7d_DSS_2d_H2O","F"
"3689","proximal_colon","JB291","7d_DSS_5d_H2O","M"
"3690","proximal_colon","JB292","7d_DSS_5d_H2O","M"
"3691","proximal_colon","JB293","7d_DSS","F"
"3693","proximal_colon","JB294","7d_DSS_7d_H2O","F"
"3694","proximal_colon","JB295","7d_DSS_2d_H2O","F"
"3695","proximal_colon","JB296","7d_DSS_5d_H2O","M"
"3696","proximal_colon","JB297","7d_DSS_7d_H2O","M"
"3697","proximal_colon","JB298","7d_DSS_7d_H2O","M"
"3698","proximal_colon","JB299","5d_DSS","M"
"3699","proximal_colon","JB300","7d_DSS_2d_H2O","M"
"3700","proximal_colon","JB301","7d_DSS_7d_H2O","M"
"3702","proximal_colon","JB302","7d_DSS","M"
"3703","proximal_colon","JB303","7d_DSS","M"
"3705","proximal_colon","JB304","7d_DSS_2d_H2O","M"
"3706","proximal_colon","JB305","7d_DSS_5d_H2O","F"
"3707","proximal_colon","JB306","7d_DSS_7d_H2O","F"
"3708","proximal_colon","JB307","7d_DSS_5d_H2O","F"
"3709","proximal_colon","JB308","5d_DSS","F"
"3710","proximal_colon","JB309","7d_DSS","F"
"3711","proximal_colon","JB310","7d_DSS_5d_H2O","M"
"3712","proximal_colon","JB311","7d_DSS_7d_H2O","M"
"3713","proximal_colon","JB312","7d_DSS_7d_H2O","M"
"3714","proximal_colon","JB313","5d_DSS","F"
"3715","proximal_colon","JB314","7d_DSS","F"
"3717","proximal_colon","JB315","5d_DSS","M"
"3962","proximal_colon","JB316","7d_DSS_14d_H2O","M"
"3963","proximal_colon","JB317","7d_DSS_14d_H2O","M"
"3964","proximal_colon","JB318","7d_DSS_14d_H2O","M"
"3965","proximal_colon","JB319","7d_DSS_14d_H2O","F"
"3966","proximal_colon","JB320","7d_DSS_14d_H2O","F"
"3967","proximal_colon","JB321","7d_DSS_14d_H2O","F"
"3968","proximal_colon","JB322","7d_DSS_14d_H2O","F"
"3970","proximal_colon","JB323","7d_DSS_2d_H2O","M"
"3971","proximal_colon","JB324","7d_DSS_14d_H2O","M"
"FC1","proximal_colon","JB325","Untreated","F"
"FC2","proximal_colon","JB326","Untreated","F"
"FC3","proximal_colon","JB327","Untreated","F"
"FC4","proximal_colon","JB328","Untreated","F"
"FC5","proximal_colon","JB329","Untreated","F"
"3394","distal_colon","JB330","Untreated","F"
"3395","distal_colon","JB331","Untreated","F"
"3402","distal_colon","JB332","Untreated","F"
"3430","distal_colon","JB333","Untreated","M"
"3450","distal_colon","JB334","Untreated","M"
"3474","distal_colon","JB335","Untreated","M"
"3507","distal_colon","JB336","Untreated","M"
"3560","distal_colon","JB337","5d_DSS","M"
"3562","distal_colon","JB338","5d_DSS","M"
"3564","distal_colon","JB339","5d_DSS","F"
"3565","distal_colon","JB340","5d_DSS","F"
"3566","distal_colon","JB341","7d_DSS_2d_H2O","F"
"3567","distal_colon","JB342","7d_DSS_5d_H2O","F"
"3568","distal_colon","JB343","7d_DSS_7d_H2O","F"
"3570","distal_colon","JB344","7d_DSS_2d_H2O","M"
"3571","distal_colon","JB345","7d_DSS_5d_H2O","M"
"3677","distal_colon","JB346","Untreated","M"
"3678","distal_colon","JB347","Untreated","M"
"3680","distal_colon","JB348","Untreated","M"
"3681","distal_colon","JB349","Untreated","M"
"3684","distal_colon","JB350","7d_DSS","M"
"3685","distal_colon","JB351","7d_DSS","M"
"3686","distal_colon","JB352","7d_DSS_2d_H2O","M"
"3687","distal_colon","JB353","7d_DSS_2d_H2O","F"
"3688","distal_colon","JB354","7d_DSS_2d_H2O","F"
"3689","distal_colon","JB355","7d_DSS_5d_H2O","M"
"3690","distal_colon","JB356","7d_DSS_5d_H2O","M"
"3691","distal_colon","JB357","7d_DSS","F"
"3692","distal_colon","JB358","7d_DSS","F"
"3693","distal_colon","JB359","7d_DSS_7d_H2O","F"
"3694","distal_colon","JB360","7d_DSS_2d_H2O","F"
"3695","distal_colon","JB361","7d_DSS_5d_H2O","M"
"3696","distal_colon","JB362","7d_DSS_7d_H2O","M"
"3697","distal_colon","JB363","7d_DSS_7d_H2O","M"
"3699","distal_colon","JB364","7d_DSS_2d_H2O","M"
"3700","distal_colon","JB365","7d_DSS_7d_H2O","M"
"3701","distal_colon","JB366","7d_DSS","M"
"3702","distal_colon","JB367","7d_DSS","M"
"3703","distal_colon","JB368","7d_DSS","M"
"3704","distal_colon","JB369","7d_DSS_2d_H2O","M"
"3705","distal_colon","JB370","7d_DSS_2d_H2O","M"
"3706","distal_colon","JB371","7d_DSS_5d_H2O","F"
"3707","distal_colon","JB372","7d_DSS_7d_H2O","F"
"3708","distal_colon","JB373","7d_DSS_5d_H2O","F"
"3709","distal_colon","JB374","5d_DSS","F"
"3710","distal_colon","JB375","7d_DSS","F"
"3711","distal_colon","JB376","7d_DSS_5d_H2O","M"
"3712","distal_colon","JB377","7d_DSS_7d_H2O","M"
"3713","distal_colon","JB378","7d_DSS_7d_H2O","M"
"3714","distal_colon","JB379","5d_DSS","F"
"3715","distal_colon","JB380","7d_DSS","F"
"3716","distal_colon","JB381","5d_DSS","M"
"3717","distal_colon","JB382","5d_DSS","M"
"3963","distal_colon","JB383","7d_DSS_14d_H2O","M"
"3964","distal_colon","JB384","7d_DSS_14d_H2O","M"
"3965","distal_colon","JB385","7d_DSS_14d_H2O","F"
"3966","distal_colon","JB386","7d_DSS_14d_H2O","F"
"3967","distal_colon","JB387","7d_DSS_14d_H2O","F"
"3968","distal_colon","JB388","7d_DSS_14d_H2O","F"
"3970","distal_colon","JB389","7d_DSS_2d_H2O","M"
"3971","distal_colon","JB390","7d_DSS_14d_H2O","M"
"FC1","distal_colon","JB391","Untreated","F"
"FC2","distal_colon","JB392","Untreated","F"
"FC3","distal_colon","JB393","Untreated","F"
"FC4","distal_colon","JB394","Untreated","F"
"FC5","distal_colon","JB395","Untreated","F"
